"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","11 Mar 2020 14:03:43 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
11-03 14:09:12,45.274,8.458,45.771,0,0.498,827469824,580046848,131158016,2493939712,5161,1932,0,0,0,0,978,1872,1.240,1.350,1.210,1,0,51,0,0,15,29,0,206,0
11-03 14:09:13,47,5,47.500,0,0.500,852287488,555225088,131158016,2493943808,5145,2214,0,0,0,0,676,866,1.240,1.350,1.210,1,0,1,0,0,15,29,0,206,0
11-03 14:09:14,47.739,4.523,23.618,24.121,0,866566144,540934144,131158016,2493956096,5951,2160,0,2535424,0,107,827,1185,1.240,1.350,1.210,1,0,2,0,0,15,29,0,206,0
11-03 14:09:15,36.869,17.677,44.949,0.505,0,828534784,578928640,131174400,2493976576,5226,2160,0,831488,0,39,998,1657,1.300,1.360,1.210,1,0,81,0,0,15,29,0,206,0
11-03 14:09:16,47.980,4.040,44.444,3.030,0.505,852451328,554991616,131182592,2493988864,9940,1986,0,323584,0,15,762,945,1.300,1.360,1.210,1,0,1,0,0,15,29,0,198,0
11-03 14:09:17,47.739,5.025,47.236,0,0,866516992,540901376,131194880,2494001152,6331,2160,0,53248,0,6,852,1568,1.300,1.360,1.210,1,0,0,0,0,15,31,0,203,0
11-03 14:09:18,45.729,7.538,46.231,0,0.503,832974848,574398464,131203072,2494038016,5620,2160,0,61440,0,6,938,1639,1.300,1.360,1.210,1,0,65,0,0,15,29,0,199,0
11-03 14:09:19,47.739,3.518,48.241,0,0.503,859987968,547377152,131203072,2494046208,6035,1944,0,0,0,0,656,828,1.300,1.360,1.210,1,0,0,0,0,15,29,0,199,0
11-03 14:09:20,44.724,9.045,44.724,1.508,0,816820224,590376960,131203072,2494214144,7313,2160,0,126976,0,20,1243,2348,1.270,1.350,1.210,4,0,78,0,0,15,29,0,203,0
11-03 14:09:21,46,6,47.500,0,0.500,842240000,564940800,131203072,2494230528,6500,1944,0,0,0,0,738,884,1.270,1.350,1.210,1,0,3,0,0,15,29,0,203,0
11-03 14:09:22,50.254,2.538,43.655,3.553,0,863817728,543346688,131211264,2494238720,6831,2160,0,225280,0,15,744,854,1.270,1.350,1.210,1,0,0,0,0,15,29,0,201,0
11-03 14:09:23,47.236,7.035,45.226,0,0.503,828891136,578236416,131211264,2494275584,4750,1944,0,0,0,0,1064,2225,1.270,1.350,1.210,1,0,60,0,0,15,29,0,209,0
11-03 14:09:24,45.226,7.538,47.236,0,0,853487616,553631744,131211264,2494283776,5823,2160,0,0,0,0,715,894,1.270,1.350,1.210,1,0,3,0,0,15,29,0,203,0
11-03 14:09:25,47.739,5.528,44.724,2.010,0,867516416,539414528,131227648,2494455808,6297,2160,0,61440,0,6,903,1668,1.250,1.350,1.210,1,0,0,0,0,15,31,0,209,0
11-03 14:09:26,41.294,12.438,45.771,0,0.498,833220608,573685760,131244032,2494464000,7165,2160,0,167936,0,15,911,1689,1.250,1.350,1.210,2,0,86,0,0,15,29,0,202,0
11-03 14:09:27,48.500,3.500,42,5.500,0.500,858710016,548167680,131264512,2494472192,4721,1944,0,385024,0,21,672,830,1.250,1.350,1.210,2,0,0,0,0,15,29,0,202,0
11-03 14:09:28,42.132,12.183,45.685,0,0,818257920,588591104,131268608,2494496768,6113,2160,0,65536,0,6,1010,2088,1.250,1.350,1.210,2,0,82,0,0,15,29,0,200,0
11-03 14:09:29,45.685,7.107,45.685,1.523,0,845357056,561467392,131276800,2494513152,5625,2160,0,86016,0,6,796,1101,1.250,1.350,1.210,1,0,47,0,0,15,29,0,200,0
11-03 14:09:30,49.751,2.985,38.806,7.960,0.498,867295232,539500544,131297280,2494521344,10159,2160,0,540672,0,24,750,893,1.230,1.340,1.210,1,0,0,0,0,15,29,0,200,0
11-03 14:09:31,35.385,17.949,43.077,3.590,0,824233984,582496256,131330048,2494554112,6488,2160,0,208896,0,23,1274,2843,1.230,1.340,1.210,1,0,179,0,0,15,29,0,191,0
11-03 14:09:32,47.739,5.025,44.221,3.015,0,850935808,555769856,131346432,2494562304,3904,1944,0,122880,0,12,695,855,1.230,1.340,1.210,1,0,1,0,0,15,29,0,191,0
11-03 14:09:33,47.716,5.584,39.086,7.614,0,868814848,537710592,131358720,2494730240,5408,2160,0,1015808,0,36,807,1181,1.230,1.340,1.210,2,0,0,0,0,15,31,0,190,0
11-03 14:09:34,44.670,8.122,46.701,0,0.508,828604416,577904640,131358720,2494746624,5401,2160,0,0,0,0,931,1952,1.230,1.340,1.210,1,0,23,0,0,15,29,0,196,0
11-03 14:09:35,48.744,3.518,46.231,1.508,0,854638592,551845888,131371008,2494758912,4747,2160,0,110592,0,9,732,863,1.210,1.330,1.210,1,0,1,0,0,15,29,0,185,0
11-03 14:09:36,47.980,4.545,46.465,1.010,0,866508800,539938816,131371008,2494795776,3999,2160,0,40960,0,3,934,1841,1.210,1.330,1.210,1,0,0,0,0,15,29,0,193,0
11-03 14:09:37,46,8,45.500,0,0.500,847675392,558755840,131371008,2494803968,4184,2160,0,0,0,0,727,1238,1.210,1.330,1.210,1,0,72,0,0,15,29,0,187,0
11-03 14:09:38,46.939,5.612,43.878,3.571,0,868544512,537870336,131383296,2494808064,5921,2160,0,188416,0,15,675,810,1.210,1.330,1.210,1,0,0,0,0,15,29,0,187,0
11-03 14:09:39,44.221,12.060,43.216,0.503,0,823955456,582262784,131395584,2494992384,4859,1944,0,69632,0,6,1302,2984,1.210,1.330,1.210,2,0,121,0,0,15,29,0,192,0
11-03 14:09:40,48.756,3.980,46.766,0,0.498,850006016,556204032,131395584,2495000576,7191,2160,0,4096,0,1,792,975,1.200,1.330,1.210,1,0,1,0,0,15,29,0,192,0
11-03 14:09:41,48.485,4.040,47.475,0,0,868409344,537788416,131395584,2495012864,4332,1944,0,0,0,0,761,1038,1.200,1.330,1.210,1,0,0,0,0,15,31,0,193,0
11-03 14:09:42,37.186,15.075,42.211,4.020,1.508,830730240,575422464,131407872,2495045632,5343,2202,0,143360,0,9,1147,2465,1.200,1.330,1.210,1,0,179,0,0,15,29,0,196,0
11-03 14:09:43,46.269,6.965,42.289,3.980,0.498,854810624,551325696,131416064,2495053824,4916,2254,0,421888,0,21,795,993,1.200,1.330,1.210,1,0,1,0,0,15,29,0,189,0
11-03 14:09:44,46.970,5.556,46.970,0,0.505,869036032,537075712,131416064,2495078400,5194,1944,0,0,0,0,919,1534,1.200,1.330,1.210,1,0,2,0,0,15,31,0,193,0
11-03 14:09:45,46.734,6.533,28.141,18.593,0,829648896,576438272,131416064,2495102976,5191,2160,0,1540096,0,62,979,1603,1.180,1.320,1.210,1,1,21,0,0,15,29,0,191,0
11-03 14:09:46,49,3,40,7.500,0.500,852238336,553844736,131416064,2495107072,6645,2160,0,1196032,0,67,772,847,1.180,1.320,1.210,1,0,1,0,0,15,29,0,191,0
11-03 14:09:47,46.970,6.061,46.465,0,0.505,866033664,539881472,131424256,2495266816,5223,1944,0,53248,0,5,918,1671,1.180,1.320,1.210,3,0,0,0,0,15,31,0,190,0
11-03 14:09:48,43.719,11.558,44.221,0.503,0,838676480,567201792,131432448,2495295488,8131,2106,0,32768,0,4,852,1372,1.180,1.320,1.210,1,0,72,0,0,15,29,0,191,0
11-03 14:09:49,47.500,4.500,47.500,0,0.500,862347264,543518720,131440640,2495299584,9576,1998,0,389120,0,21,700,826,1.180,1.320,1.210,1,0,0,0,0,15,29,0,191,0
11-03 14:09:50,46.465,8.081,45.455,0,0,817422336,588402688,131440640,2495340544,7876,2160,0,0,0,0,1104,2245,1.160,1.320,1.200,1,0,46,0,0,15,29,0,199,0
11-03 14:09:51,42.929,10.101,46.970,0,0,844087296,561721344,131448832,2495348736,9069,2160,0,131072,0,19,779,1256,1.160,1.320,1.200,2,0,64,0,0,15,29,0,193,0
11-03 14:09:52,47.475,4.545,47.980,0,0,864518144,541278208,131448832,2495361024,10533,1944,0,0,0,0,651,729,1.160,1.320,1.200,1,0,0,0,0,15,29,0,193,0
11-03 14:09:53,39.698,13.568,45.226,1.005,0.503,829054976,576708608,131448832,2495393792,20815,2160,0,40960,0,3,1122,2302,1.160,1.320,1.200,1,0,132,0,0,15,29,0,183,0
11-03 14:09:54,46.970,6.061,44.444,2.525,0,854208512,551534592,131469312,2495393792,13634,2160,0,225280,0,15,823,991,1.160,1.320,1.200,3,0,3,0,0,15,29,0,183,0
11-03 14:09:55,47.264,4.975,46.766,0,0.995,868483072,537088000,131469312,2495565824,9188,1944,0,0,0,0,819,1231,1.150,1.310,1.200,1,0,0,0,0,15,31,0,186,0
11-03 14:09:56,37.688,17.085,42.714,1.508,1.005,830918656,574627840,131485696,2495574016,5511,2160,0,135168,0,9,1119,2280,1.150,1.310,1.200,1,0,179,0,0,15,29,0,188,0
11-03 14:09:57,46.231,5.528,44.221,4.020,0,855388160,550150144,131489792,2495578112,6085,2160,0,380928,0,15,757,839,1.150,1.310,1.200,1,1,1,0,0,15,29,0,174,0
11-03 14:09:58,50.505,3.030,44.949,1.010,0.505,869212160,536276992,131502080,2495614976,8923,1944,0,40960,0,6,1037,2001,1.150,1.310,1.200,1,0,0,0,0,15,31,0,182,0
11-03 14:09:59,44.500,8.500,47,0,0,838889472,566575104,131502080,2495639552,4925,2160,0,0,0,0,742,1057,1.150,1.310,1.200,1,0,22,0,0,15,29,0,171,0
11-03 14:10:00,49.246,3.518,46.231,1.005,0,861343744,544096256,131514368,2495651840,4966,2160,0,65536,0,6,704,813,1.140,1.310,1.200,2,0,0,0,0,15,29,0,171,0
11-03 14:10:01,45.455,8.586,44.444,1.010,0.505,827047936,578211840,131526656,2495819776,4948,2160,0,81920,0,5,1055,2251,1.140,1.310,1.200,1,0,71,0,0,15,29,0,176,0
11-03 14:10:02,45.455,7.071,47.475,0,0,854786048,550461440,131526656,2495823872,5268,1944,0,0,0,0,688,823,1.140,1.310,1.200,1,0,1,0,0,15,29,0,176,0
11-03 14:10:03,47.980,3.535,45.455,2.020,1.010,869199872,536014848,131543040,2495840256,5236,2106,0,155648,0,9,808,1186,1.140,1.310,1.200,1,0,0,0,0,15,31,0,163,0
11-03 14:10:04,44,11,44.500,0,0.500,829681664,575492096,131543040,2495881216,4741,2214,0,0,0,0,1205,2637,1.140,1.310,1.200,1,0,111,0,0,15,29,0,170,0
11-03 14:10:05,44.221,8.040,47.236,0,0.503,854437888,550727680,131543040,2495889408,5273,1944,0,0,0,0,705,865,1.130,1.300,1.200,1,0,1,0,0,15,29,0,163,0
11-03 14:10:06,48.485,3.535,45.455,2.020,0.505,868700160,536444928,131555328,2495897600,4735,2160,0,159744,0,8,871,1537,1.130,1.300,1.200,1,0,0,0,0,15,31,0,168,0
11-03 14:10:07,43.284,9.950,44.776,0.995,0.995,839864320,565239808,131559424,2495934464,5079,2160,0,77824,0,6,817,1198,1.130,1.300,1.200,2,0,52,0,0,15,29,0,162,0
11-03 14:10:08,48.731,3.046,48.223,0,0,863416320,541683712,131559424,2495938560,6106,1944,0,0,0,0,683,786,1.130,1.300,1.200,2,0,0,0,0,15,29,0,162,0
11-03 14:10:09,40.909,13.131,44.949,1.010,0,829292544,575778816,131559424,2495967232,4304,2160,0,45056,0,3,1066,2181,1.130,1.300,1.200,1,0,120,0,0,15,29,0,151,0
11-03 14:10:10,47.475,4.545,47.475,0,0.505,854269952,550793216,131559424,2495975424,7215,2160,0,0,0,0,744,867,1.120,1.300,1.200,1,0,1,0,0,15,29,0,151,0
11-03 14:10:11,48.241,4.020,45.226,2.513,0,868368384,536535040,131563520,2496122880,5360,1944,0,188416,0,9,892,1355,1.120,1.300,1.200,1,0,0,0,0,15,31,0,155,0
11-03 14:10:12,40.201,15.075,43.216,1.005,0.503,830701568,574148608,131596288,2496143360,4637,2160,0,176128,0,15,1029,1956,1.120,1.300,1.200,1,0,132,0,0,15,29,0,156,0
11-03 14:10:13,47.716,4.569,40.102,7.614,0,857739264,547065856,131620864,2496155648,4879,1986,0,421888,0,22,731,890,1.120,1.300,1.200,1,0,1,0,0,15,29,0,156,0
11-03 14:10:14,43.069,7.426,44.554,4.455,0.495,818507776,586252288,131641344,2496180224,8079,2160,0,176128,0,21,1075,1820,1.120,1.300,1.200,3,0,16,0,0,15,29,0,155,0
11-03 14:10:15,39.286,15.816,44.898,0,0,840265728,564494336,131645440,2496200704,6851,2160,0,86016,0,6,1008,2025,1.270,1.320,1.210,3,0,166,0,0,15,29,0,155,0
11-03 14:10:16,48.744,4.020,27.136,20.101,0,864108544,540622848,131665920,2496208896,5764,2160,0,5029888,0,110,918,1319,1.270,1.320,1.210,1,1,0,0,0,15,29,0,151,0
11-03 14:10:17,46.766,6.965,30.846,14.428,0.995,821919744,582770688,131665920,2496249856,7570,1986,0,2154496,0,98,1271,2217,1.270,1.320,1.210,1,0,21,0,0,15,29,0,160,0
11-03 14:10:18,46.734,6.030,47.236,0,0,848293888,556388352,131665920,2496258048,7367,2160,0,0,0,0,707,869,1.270,1.320,1.210,1,0,1,0,0,15,29,0,153,0
11-03 14:10:19,46.734,5.025,48.241,0,0,865513472,539148288,131682304,2496262144,5766,1998,0,94208,0,6,637,812,1.270,1.320,1.210,1,0,0,0,0,15,29,0,153,0
11-03 14:10:20,45.500,9.500,43.500,1,0.500,830730240,573743104,131690496,2496442368,4770,2106,0,40960,0,3,1129,2330,1.250,1.320,1.210,1,0,71,0,0,15,29,0,160,0
11-03 14:10:21,50.251,2.513,44.724,2.513,0,855502848,548941824,131710976,2496450560,4865,2160,0,188416,0,15,731,848,1.250,1.320,1.210,1,0,1,0,0,15,29,0,160,0
11-03 14:10:22,47.739,5.528,44.724,2.010,0,869376000,535040000,131715072,2496475136,4974,2160,0,159744,0,28,1050,1885,1.250,1.320,1.210,1,0,0,0,0,15,31,0,160,0
11-03 14:10:23,39.196,14.070,45.226,1.005,0.503,822337536,582033408,131719168,2496516096,5608,2106,4096,81920,1,5,970,1903,1.250,1.320,1.210,1,0,103,0,0,15,29,0,162,0
11-03 14:10:24,34.518,22.335,41.117,2.030,0,841302016,562982912,131747840,2496573440,5462,2214,0,225280,0,13,1266,2728,1.250,1.320,1.210,1,0,211,0,0,15,29,0,156,0
11-03 14:10:25,47.525,3.960,47.030,0.990,0.495,856559616,547676160,131747840,2496622592,3779,2106,45056,0,5,0,716,793,1.230,1.310,1.210,2,0,0,0,0,15,29,0,156,0
11-03 14:10:26,46.465,4.040,37.879,11.616,0,882741248,520794112,131768320,2497302528,4436,1998,208896,520192,17,19,780,919,1.230,1.310,1.210,1,0,0,0,0,15,29,0,149,0
11-03 14:10:27,22.564,7.692,36.923,32.821,0,889876480,512892928,131907584,2497921024,4879,2160,0,1519616,0,99,1097,2127,1.230,1.310,1.210,1,1,1,0,0,15,33,0,149,0
11-03 14:10:28,9.091,6.061,40.909,43.434,0.505,890179584,512196608,132083712,2498138112,4332,2160,0,1425408,0,135,1045,1611,1.230,1.310,1.210,0,1,0,0,0,15,33,0,149,0
11-03 14:10:29,6.091,6.599,46.193,41.117,0,890748928,511168512,132325376,2498347008,4543,2160,0,1622016,0,149,1104,1974,1.230,1.310,1.210,0,1,0,0,0,15,33,0,149,0
11-03 14:10:30,8.458,7.960,42.786,40.796,0,890855424,510648320,132542464,2498523136,5246,1998,0,1372160,0,138,1098,1972,1.290,1.330,1.210,2,1,0,0,0,15,33,0,144,0
11-03 14:10:31,6.566,6.061,39.899,46.970,0.505,891146240,509882368,132722688,2498818048,6013,2106,0,1458176,0,116,927,1588,1.290,1.330,1.210,0,1,0,0,0,15,33,0,144,0
11-03 14:10:32,3.030,3.535,45.455,46.465,1.515,891437056,509083648,132894720,2499141632,9763,2160,0,1720320,0,140,1041,1642,1.290,1.330,1.210,0,1,0,0,0,15,33,0,139,0
11-03 14:10:33,8.763,9.794,40.722,39.691,1.031,891592704,508530688,133074944,2499342336,3847,1944,0,1429504,0,125,970,1753,1.290,1.330,1.210,1,1,0,0,0,15,33,0,139,0
11-03 14:10:34,7.143,5.102,45.408,41.327,1.020,892284928,507383808,133296128,2499575808,5009,2106,0,1523712,0,134,1057,2127,1.290,1.330,1.210,0,1,2,0,0,15,33,0,130,0
11-03 14:10:35,7.179,7.692,40.513,44.615,0,892309504,507101184,133484544,2499645440,6749,1998,0,1204224,0,119,1015,1805,1.430,1.350,1.220,0,1,0,0,0,15,33,0,130,0
11-03 14:10:36,6.599,6.599,45.178,41.117,0.508,892661760,506232832,133726208,2499907584,6585,2160,0,1572864,0,143,1093,2039,1.430,1.350,1.220,0,1,0,0,0,15,33,0,128,0
11-03 14:10:37,6.061,5.051,41.919,46.465,0.505,892977152,505602048,133890048,2500059136,7286,2160,0,1523712,0,112,970,1916,1.430,1.350,1.220,0,1,0,0,0,15,33,0,128,0
11-03 14:10:38,13,9,37,40.500,0.500,891506688,506773504,134074368,2500173824,7625,1944,0,1896448,0,147,1133,2204,1.430,1.350,1.220,0,1,0,0,0,15,33,0,122,0
11-03 14:10:39,7.732,7.216,42.784,41.753,0.515,891826176,506236928,134291456,2500173824,5194,2160,0,2007040,0,152,1214,1820,1.430,1.350,1.220,0,1,0,0,0,15,33,0,122,0
11-03 14:10:40,15.075,9.548,38.191,37.186,0,892731392,505155584,134516736,2500120576,5928,1944,0,1720320,0,134,1094,2217,1.470,1.360,1.220,0,1,0,0,0,15,33,0,113,0
11-03 14:10:41,18.782,14.213,40.102,26.396,0.508,893231104,505122816,134774784,2499395584,9966,2160,0,1777664,0,153,1373,1905,1.470,1.360,1.220,1,0,0,0,0,15,33,0,113,0
11-03 14:10:42,42.424,5.051,48.485,4.040,0,851890176,546451456,134787072,2499395584,6655,2160,0,122880,0,11,764,958,1.470,1.360,1.220,1,0,6,0,0,15,29,0,110,0
11-03 14:10:43,48,5,37.500,9,0.500,872247296,525910016,134823936,2499543040,6621,2038,0,6709248,0,53,838,1321,1.470,1.360,1.220,1,0,0,0,0,15,29,0,110,0
11-03 14:10:44,41,7.500,32,19.500,0,891895808,505565184,134926336,2500136960,4996,2160,0,6144000,0,117,1015,1732,1.470,1.360,1.220,1,0,2,0,0,15,31,0,109,0
11-03 14:10:45,16.162,6.566,44.949,31.818,0.505,892059648,505249792,135110656,2500104192,5950,1944,0,856064,0,116,1001,2010,1.590,1.390,1.230,0,1,0,0,0,15,31,0,110,0
11-03 14:10:46,17,3,47,32,1,892039168,504991744,135335936,2500157440,4297,2160,0,851968,0,121,1145,2294,1.590,1.390,1.230,1,0,0,0,0,15,31,0,102,0
11-03 14:10:47,11.168,3.046,47.208,37.056,1.523,892116992,504741888,135499776,2500165632,4971,2160,0,757760,0,99,969,1889,1.590,1.390,1.230,0,1,0,0,0,15,31,0,102,0
11-03 14:10:48,3.553,0.508,18.782,77.157,0,892297216,504545280,135540736,2500141056,3872,1944,0,1941504,0,146,618,937,1.590,1.390,1.230,2,0,0,0,0,15,31,0,95,0
11-03 14:10:49,12.183,2.538,46.701,38.071,0.508,892084224,504516608,135704576,2500218880,4340,2160,0,983040,0,117,1325,2338,1.590,1.390,1.230,0,1,0,0,0,15,31,0,95,0
11-03 14:10:50,13.706,2.030,48.223,36.041,0,892239872,504004608,135888896,2500390912,4542,2160,0,1003520,0,112,772,1774,1.710,1.420,1.240,0,1,0,0,0,15,31,0,87,0
11-03 14:10:51,15,2,47.500,35.500,0,892198912,503848960,136073216,2500403200,4473,2160,0,929792,0,113,805,1837,1.710,1.420,1.240,0,1,0,0,0,15,31,0,87,0
11-03 14:10:52,22.388,5.473,46.269,25.373,0.498,825880576,570036224,136183808,2500423680,4650,2160,0,614400,0,66,906,1749,1.710,1.420,1.240,2,0,25,0,0,15,29,0,88,0
11-03 14:10:53,37.374,16.162,44.444,2.020,0,840773632,555073536,136192000,2500485120,5154,2160,32768,491520,3,60,1113,2179,1.710,1.420,1.240,0,2,153,0,0,15,29,0,88,0
11-03 14:10:54,19.697,2.525,16.667,61.111,0,854573056,541212672,136208384,2500530176,3805,1944,20480,4395008,3,152,909,1164,1.710,1.420,1.240,1,1,3,0,0,15,29,0,88,0
11-03 14:10:55,47.236,2.513,47.739,2.010,0.503,882716672,512983040,136212480,2500612096,5567,2160,24576,208896,4,10,686,906,1.650,1.410,1.240,2,0,0,0,0,15,29,0,83,0
11-03 14:10:56,41,5.500,44.500,8,1,902701056,491307008,136245248,2502270976,10735,2160,1445888,454656,34,12,836,1073,1.650,1.410,1.240,1,0,3,0,0,15,29,0,83,0
11-03 14:10:57,23.500,4.500,40,28.500,3.500,909824000,482574336,136310784,2503815168,9075,1944,835584,262144,78,6,815,1222,1.650,1.410,1.240,1,0,0,0,0,15,29,0,78,0
11-03 14:10:58,44.670,6.599,47.716,0.508,0.508,839491584,552853504,136327168,2503852032,6831,2160,0,942080,0,21,759,933,1.650,1.410,1.240,1,0,1,0,0,15,29,0,78,0
11-03 14:10:59,45.960,5.051,46.465,2.020,0.505,873156608,519176192,136339456,2503852032,6257,2160,4096,876544,1,18,773,944,1.650,1.410,1.240,1,0,1,0,0,15,29,0,69,0
11-03 14:11:00,49,3,48,0,0,900288512,492027904,136339456,2503868416,5891,1890,0,0,0,0,683,814,1.600,1.400,1.240,1,0,3,0,0,15,29,0,69,0
11-03 14:11:01,47.739,4.523,47.739,0,0,837214208,555094016,136339456,2503892992,5003,2214,0,0,0,0,654,849,1.600,1.400,1.240,2,0,1,0,0,15,29,0,69,0
11-03 14:11:02,45.729,6.030,48.241,0,0,866500608,525791232,136339456,2503909376,5609,1944,4096,0,1,0,634,885,1.600,1.400,1.240,1,0,1,0,0,15,29,0,69,0
11-03 14:11:03,49,3.500,47,0,0.500,896520192,495763456,136339456,2503917568,5729,2160,0,0,0,0,678,899,1.600,1.400,1.240,1,0,2,0,0,15,29,0,61,0
11-03 14:11:04,46.231,6.030,47.739,0,0,831987712,560271360,136339456,2503942144,4379,1944,0,0,0,0,671,894,1.600,1.400,1.240,2,0,4,0,0,15,29,0,61,0
11-03 14:11:05,46.734,5.528,46.734,1.005,0,852791296,539447296,136347648,2503954432,10365,2160,4096,212992,1,2,702,859,1.550,1.400,1.240,1,0,1,0,0,15,29,0,52,0
11-03 14:11:06,47.236,6.533,46.231,0,0,882466816,509763584,136351744,2503958528,6279,2160,0,86016,0,6,642,814,1.550,1.400,1.240,2,0,0,0,0,15,29,0,52,0
11-03 14:11:07,46.734,4.523,48.241,0,0.503,909881344,482340864,136351744,2503966720,5056,1782,0,0,0,0,626,771,1.550,1.400,1.240,1,0,3,0,0,15,29,0,46,0
11-03 14:11:08,47,5,44,4,0,843935744,548249600,136376320,2503979008,8389,2322,4096,299008,1,16,637,865,1.550,1.400,1.240,1,1,2,0,0,15,29,0,46,0
11-03 14:11:09,46.970,5.051,46.970,1.010,0,878837760,513323008,136380416,2503999488,4667,2160,0,61440,0,4,631,774,1.550,1.400,1.240,1,0,0,0,0,15,29,0,44,0
11-03 14:11:10,47.236,5.025,47.236,0,0.503,903233536,488906752,136388608,2504011776,5139,1944,0,73728,0,6,645,771,1.510,1.390,1.240,1,0,3,0,0,15,29,0,44,0
11-03 14:11:11,47.236,5.025,47.739,0,0,837246976,554872832,136388608,2504032256,4851,2160,0,0,0,0,591,757,1.510,1.390,1.240,2,0,1,0,0,15,29,0,42,0
11-03 14:11:12,47.739,4.020,48.241,0,0,871616512,520491008,136388608,2504044544,3629,2160,4096,0,1,0,678,824,1.510,1.390,1.240,1,0,1,0,0,15,29,0,42,0
11-03 14:11:13,49.746,2.030,48.223,0,0,899608576,492494848,136388608,2504048640,3441,1986,0,0,0,0,616,738,1.510,1.390,1.240,1,0,2,0,0,15,29,0,37,0
11-03 14:11:14,46.500,6.500,47,0,0,837492736,554590208,136388608,2504069120,6234,2160,0,8192,0,2,667,859,1.510,1.390,1.240,1,0,4,0,0,15,29,0,37,0
11-03 14:11:15,47.739,4.020,47.236,0.503,0.503,866394112,525668352,136396800,2504081408,3689,2160,4096,65536,1,2,714,866,1.460,1.380,1.240,1,0,1,0,0,15,29,0,32,0
11-03 14:11:16,50.505,3.535,45.960,0,0,896638976,495403008,136404992,2504093696,5748,2202,0,86016,0,6,749,974,1.460,1.380,1.240,1,0,2,0,0,15,29,0,32,0
11-03 14:11:17,45.455,6.061,48.485,0,0,836386816,555634688,136404992,2504114176,4873,2160,0,0,0,0,635,777,1.460,1.380,1.240,3,0,2,0,0,15,29,0,27,0
11-03 14:11:18,45.729,6.030,48.241,0,0,859881472,532115456,136421376,2504122368,5196,2160,4096,274432,1,12,747,929,1.460,1.380,1.240,1,0,1,0,0,15,29,0,27,0
11-03 14:11:19,49.246,2.513,37.186,11.055,0,891396096,500588544,136425472,2504130560,4823,1944,0,593920,0,64,732,812,1.460,1.380,1.240,1,0,0,0,0,15,29,0,23,0
11-03 14:11:20,45.455,5.051,47.475,2.020,0,914649088,477310976,136437760,2504159232,6267,2160,36864,90112,7,6,781,923,1.430,1.380,1.230,1,0,3,0,0,15,29,0,23,0
11-03 14:11:21,46,5.500,48,0,0.500,839147520,552730624,136437760,2504241152,4715,2160,0,0,0,0,659,795,1.430,1.380,1.230,1,0,1,0,0,15,29,0,15,0
11-03 14:11:22,46.231,4.523,48.241,1.005,0,875573248,516259840,136445952,2504278016,5533,2160,8192,0,2,0,567,819,1.430,1.380,1.230,1,0,1,0,0,15,29,0,15,0
11-03 14:11:23,45.455,6.566,47.980,0,0,839745536,552062976,136445952,2504302592,6107,1890,0,0,0,0,646,804,1.430,1.380,1.230,1,0,3,0,0,15,29,0,6,0
11-03 14:11:24,47.475,4.545,45.960,2.020,0,877350912,514449408,136445952,2504310784,4484,2214,4096,45056,1,9,756,953,1.430,1.380,1.230,1,1,3,0,0,15,29,0,6,0
11-03 14:11:25,47.739,4.523,12.563,34.673,0.503,903213056,488574976,136450048,2504318976,5145,2160,0,1073152,0,96,782,805,1.710,1.440,1.260,1,0,3,0,0,15,29,0,4,0
11-03 14:11:26,47.980,5.556,46.465,0,0,837066752,554795008,136458240,2504343552,4559,2160,0,86016,0,6,622,814,1.710,1.440,1.260,1,0,1,0,0,15,29,0,4,0
11-03 14:11:27,46.231,4.523,48.744,0,0.503,870567936,521244672,136462336,2504388608,3924,1944,20480,0,2,0,550,857,1.710,1.440,1.260,1,0,1,0,0,15,29,0,4,0
11-03 14:11:28,49.246,3.015,47.739,0,0,891817984,499974144,136474624,2504396800,8295,2160,0,299008,0,11,665,815,1.710,1.440,1.260,1,0,0,0,0,15,29,0,4,0
11-03 14:11:29,44.500,7.500,47,0.500,0.500,851431424,540319744,136486912,2504425472,8322,2160,4096,98304,1,6,712,913,1.710,1.440,1.260,1,0,2,0,0,15,29,0,4,0
11-03 14:11:30,49.746,2.538,47.716,0,0,882900992,508829696,136499200,2504433664,4805,1890,0,897024,0,16,635,933,1.740,1.450,1.260,1,0,0,0,0,15,29,0,4,0
11-03 14:11:31,47.525,4.950,47.525,0,0,910065664,481652736,136499200,2504445952,4794,2214,0,0,0,0,627,923,1.740,1.450,1.260,1,0,3,0,0,15,29,0,4,0
11-03 14:11:32,24.103,33.846,41.538,0,0.513,825892864,565686272,136507392,2504577024,4766,1944,0,368640,0,6,1619,4139,1.740,1.450,1.260,1,0,429,0,0,15,29,0,4,0
11-03 14:11:33,18.593,38.191,39.698,3.015,0.503,826621952,564813824,136511488,2504716288,6239,2160,49152,397312,12,9,1599,4079,1.740,1.450,1.260,2,0,405,0,0,15,29,0,4,0
