"Dstat 0.7.3 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","ubuntu",,,,"User:","ubuntu"
"Cmdline:","dstat -tcmndrylpg --tcp --output /tmp/devstack_logs/dstat-csv.log",,,,"Date:","13 Jan 2020 22:36:13 UTC"
"system","total cpu usage",,,,,"memory usage",,,,"net/total",,"dsk/total",,"io/total",,"system",,"load avg",,,"procs",,,"paging",,"tcp sockets",,,,
13-01 22:42:42,45.500,7.500,46.500,0,0.500,871391232,671793152,127655936,2370846720,5358,2700,0,0,0,0,684,876,1.230,1.620,1.400,1,0,1,0,0,16,29,0,200,0
13-01 22:42:43,47,5.500,42.500,4,1,890851328,652300288,127676416,2370859008,7070,2430,0,335872,0,39,685,848,1.230,1.620,1.400,1,0,0,0,0,16,29,0,200,0
13-01 22:42:44,48.259,6.468,44.776,0,0.498,896589824,646385664,127676416,2371035136,6283,2430,0,0,0,0,1149,2590,1.290,1.620,1.400,2,0,2,0,0,16,31,0,210,0
13-01 22:42:45,40.686,11.765,42.647,0,4.902,854073344,688861184,127676416,2371076096,5634,2592,0,0,0,0,1163,2335,1.290,1.620,1.400,1,0,100,0,0,16,29,0,207,0
13-01 22:42:46,45.226,6.533,44.724,2.513,1.005,876576768,666353664,127688704,2371067904,5130,2808,0,77824,0,6,642,846,1.290,1.620,1.400,4,0,1,0,0,16,29,0,207,0
13-01 22:42:47,46.500,6,47,0,0.500,894394368,648515584,127688704,2371088384,4996,2700,0,0,0,0,613,830,1.290,1.620,1.400,2,0,0,0,0,16,31,0,199,0
13-01 22:42:48,43.216,11.055,45.226,0,0.503,856952832,685912064,127688704,2371133440,4794,2430,0,49152,0,3,907,1809,1.290,1.620,1.400,2,0,51,0,0,16,29,0,204,0
13-01 22:42:49,46.970,5.556,47.475,0,0,881172480,661688320,127688704,2371137536,6361,2700,0,0,0,0,552,791,1.270,1.610,1.400,2,0,1,0,0,16,29,0,204,0
13-01 22:42:50,43.500,5.500,46.500,4,0.500,895418368,647405568,127705088,2371158016,4203,2472,0,106496,0,9,787,1334,1.270,1.610,1.400,2,0,0,0,0,16,29,0,208,0
13-01 22:42:51,42.211,11.558,45.729,0,0.503,861483008,681328640,127705088,2371170304,5373,2160,0,0,0,0,771,1390,1.270,1.610,1.400,2,0,82,0,0,16,29,0,199,0
13-01 22:42:52,46.734,6.030,29.648,17.085,0.503,886034432,656760832,127725568,2371166208,8261,2700,0,385024,0,21,651,848,1.270,1.610,1.400,4,0,0,0,0,16,29,0,199,0
13-01 22:42:53,47.761,5.970,41.294,4.478,0.498,895148032,647458816,127733760,2371346432,6215,2700,0,49152,0,5,893,1784,1.270,1.610,1.400,1,2,0,0,0,16,29,0,199,0
13-01 22:42:54,42.714,11.055,45.226,0,1.005,867418112,675164160,127737856,2371366912,5276,2430,0,32768,0,2,776,1285,1.240,1.600,1.400,2,0,67,0,0,16,29,0,199,0
13-01 22:42:55,47.980,4.545,46.465,0,1.010,890449920,652124160,127737856,2371375104,4911,2430,0,0,0,0,623,758,1.240,1.600,1.400,2,0,0,0,0,16,29,0,198,0
13-01 22:42:56,44.059,5.941,44.059,2.475,3.465,895655936,646889472,127737856,2371403776,5615,2700,0,61440,0,3,890,1675,1.240,1.600,1.400,2,0,0,0,0,16,29,0,205,0
13-01 22:42:57,38.308,13.930,44.776,0,2.985,861712384,680812544,127737856,2371424256,4733,2430,0,0,0,0,876,1476,1.240,1.600,1.400,1,0,94,0,0,16,29,0,197,0
13-01 22:42:58,49.751,2.985,43.284,3.483,0.498,885964800,656539648,127750144,2371432448,5686,2430,0,692224,0,12,662,849,1.240,1.600,1.400,1,0,0,0,0,16,29,0,197,0
13-01 22:42:59,42.714,10.553,38.191,7.538,1.005,845602816,696733696,127762432,2371588096,4288,2430,0,94208,0,6,848,1819,1.220,1.590,1.390,2,0,61,0,0,16,29,0,193,0
13-01 22:43:00,31.500,24,42,0,2.500,857853952,684449792,127762432,2371620864,5117,2430,0,8192,0,2,1131,2633,1.220,1.590,1.390,2,0,230,0,0,16,29,0,193,0
13-01 22:43:01,47.264,4.975,44.279,2.985,0.498,881991680,660295680,127774720,2371624960,5162,2700,0,106496,0,6,654,853,1.220,1.590,1.390,1,0,1,0,0,16,29,0,190,0
13-01 22:43:02,47.980,4.545,46.970,0,0.505,896294912,645976064,127774720,2371641344,4657,2430,0,0,0,0,693,1338,1.220,1.590,1.390,2,0,0,0,0,16,31,0,195,0
13-01 22:43:03,35.644,17.822,38.119,6.436,1.980,859734016,682487808,127791104,2371674112,5193,2376,0,188416,0,22,1028,2106,1.220,1.590,1.390,2,1,148,0,0,16,29,0,191,0
13-01 22:43:04,45.274,7.463,6.468,40.299,0.498,882675712,659533824,127803392,2371674112,5705,2754,0,2572288,0,102,887,860,1.450,1.630,1.410,1,1,1,0,0,16,29,0,191,0
13-01 22:43:05,49.500,3.500,38,8.500,0.500,897613824,644554752,127811584,2371706880,4720,2430,0,765952,0,27,682,1194,1.450,1.630,1.410,2,0,2,0,0,16,31,0,185,0
13-01 22:43:06,45.588,5.882,44.118,0,4.412,897654784,644329472,127811584,2371891200,5418,2472,0,0,0,0,1213,2572,1.450,1.630,1.410,1,0,0,0,0,16,31,0,195,0
13-01 22:43:07,42.500,9.500,46.500,0,1.500,860884992,681070592,127811584,2371919872,8024,2700,0,0,0,0,862,1357,1.450,1.630,1.410,3,0,22,0,0,16,29,0,197,0
13-01 22:43:08,46.231,5.528,37.688,10.050,0.503,884805632,657133568,127819776,2371928064,5916,2430,0,77824,0,6,620,725,1.450,1.630,1.410,2,0,0,0,0,16,29,0,197,0
13-01 22:43:09,47.264,5.473,38.308,7.463,1.493,894234624,647675904,127827968,2371948544,6171,2376,0,77824,0,7,909,1818,1.410,1.620,1.410,1,0,0,0,0,16,31,0,198,0
13-01 22:43:10,43.284,11.940,40.299,1.493,2.985,854147072,687566848,127836160,2372136960,6166,2578,0,102400,0,9,1267,2425,1.410,1.620,1.410,2,0,71,0,0,16,29,0,205,0
13-01 22:43:11,45.545,5.446,45.545,0,3.465,877281280,664428544,127836160,2372141056,7877,2322,0,0,0,0,616,751,1.410,1.620,1.410,2,0,1,0,0,16,29,0,196,0
13-01 22:43:12,47.525,4.455,38.614,7.921,1.485,896663552,645029888,127840256,2372153344,12847,2808,0,438272,0,22,579,827,1.410,1.620,1.410,2,0,0,0,0,16,29,0,196,0
13-01 22:43:13,44.949,6.566,44.949,0,3.535,897064960,644587520,127840256,2372194304,8213,2430,0,0,0,0,1350,2606,1.410,1.620,1.410,2,0,0,0,0,16,31,0,202,0
13-01 22:43:14,39.394,15.657,33.838,10.101,1.010,858009600,683593728,127840256,2372243456,4850,2160,0,303104,0,64,1168,2050,1.460,1.630,1.410,2,0,104,0,0,16,29,0,205,0
13-01 22:43:15,46.269,5.473,45.274,0.498,2.488,877707264,663883776,127844352,2372251648,9256,2700,0,110592,0,10,729,907,1.460,1.630,1.410,2,0,3,0,0,16,29,0,191,0
13-01 22:43:16,48.020,4.455,46.040,0,1.485,895524864,646041600,127856640,2372263936,7306,2430,0,57344,0,6,646,794,1.460,1.630,1.410,1,0,0,0,0,16,31,0,192,0
13-01 22:43:17,45,9,45,0,1,858099712,683311104,127856640,2372419584,5578,2700,0,0,0,0,955,1745,1.460,1.630,1.410,2,0,51,0,0,16,29,0,197,0
13-01 22:43:18,46,6,47.500,0,0.500,882282496,659120128,127856640,2372427776,9062,2700,0,0,0,0,682,834,1.460,1.630,1.410,2,0,1,0,0,16,29,0,197,0
13-01 22:43:19,44.670,6.599,47.208,1.523,0,896253952,645120000,127860736,2372452352,7728,2430,0,53248,0,3,708,1237,1.420,1.620,1.410,1,0,0,0,0,16,29,0,201,0
13-01 22:43:20,41.294,14.428,43.781,0,0.498,863625216,677715968,127877120,2372468736,5790,2430,0,77824,0,6,799,1468,1.420,1.620,1.410,2,0,82,0,0,16,29,0,185,0
13-01 22:43:21,47,5.500,47.500,0,0,888381440,652951552,127877120,2372476928,5082,2700,0,0,0,0,504,687,1.420,1.620,1.410,3,0,0,0,0,16,29,0,185,0
13-01 22:43:22,47.264,5.970,27.861,17.910,0.995,897232896,644034560,127901696,2372517888,7341,2700,0,389120,0,21,862,1873,1.420,1.620,1.410,1,0,1,0,0,16,29,0,193,0
13-01 22:43:23,44.162,9.137,46.193,0,0.508,866578432,674676736,127901696,2372530176,6430,2700,0,0,0,0,742,1229,1.420,1.620,1.410,2,0,65,0,0,16,29,0,193,0
13-01 22:43:24,48.259,4.478,47.264,0,0,889688064,651558912,127913984,2372526080,4619,2484,0,69632,0,6,695,811,1.630,1.660,1.420,1,0,0,0,0,16,29,0,187,0
13-01 22:43:25,49.746,5.076,44.162,0.508,0.508,847736832,693321728,127922176,2372706304,6059,2376,0,94208,0,10,974,1842,1.630,1.660,1.420,2,0,10,0,0,16,29,0,194,0
13-01 22:43:26,36,19,40,4.500,0.500,860303360,680730624,127926272,2372726784,4761,2430,0,102400,0,6,1087,2078,1.630,1.660,1.420,1,0,160,0,0,16,29,0,189,0
13-01 22:43:27,46.231,6.533,45.729,1.005,0.503,885239808,655777792,127934464,2372730880,5057,2700,0,503808,0,24,630,920,1.630,1.660,1.420,1,0,1,0,0,16,29,0,189,0
13-01 22:43:28,40,5,45.500,9,0.500,898740224,642224128,127942656,2372775936,5093,2700,32768,163840,2,9,770,1544,1.630,1.660,1.420,2,0,0,0,0,16,31,0,184,0
13-01 22:43:29,41.294,11.443,45.274,0,1.990,860979200,679940096,127942656,2372820992,5143,2430,0,0,0,0,880,1372,1.660,1.660,1.420,1,0,88,0,0,16,29,0,185,0
13-01 22:43:30,45.771,4.975,47.264,0,1.990,884736000,656166912,127959040,2372820992,6422,2430,0,573440,0,12,601,769,1.660,1.660,1.420,1,2,1,0,0,16,29,0,178,0
13-01 22:43:31,44.390,4.390,45.854,0.488,4.878,898572288,642293760,127971328,2372845568,6220,2430,0,90112,0,5,801,1319,1.660,1.660,1.420,2,0,0,0,0,16,31,0,182,0
13-01 22:43:32,30.542,15.271,29.064,15.764,9.360,857178112,683634688,127987712,2372882432,5201,2430,0,126976,0,9,967,1883,1.660,1.660,1.420,2,0,148,0,0,16,29,0,177,0
13-01 22:43:33,44.221,7.538,47.739,0,0.503,881111040,659681280,128000000,2372890624,4632,2430,0,98304,0,6,551,770,1.660,1.660,1.420,2,0,1,0,0,16,29,0,177,0
13-01 22:43:34,47.291,4.433,46.798,0,1.478,898908160,641859584,128016384,2372898816,5344,2430,0,389120,0,19,633,759,1.690,1.670,1.430,1,0,0,0,0,16,31,0,165,0
13-01 22:43:35,44.776,5.473,31.343,12.935,5.473,900186112,640487424,128016384,2372993024,5163,2700,0,761856,0,83,1267,2411,1.690,1.670,1.430,3,0,2,0,0,16,31,0,177,0
13-01 22:43:36,46.040,5.941,42.574,3.465,1.980,860270592,680370176,128024576,2373017600,5667,2160,0,1736704,0,27,932,1551,1.690,1.670,1.430,1,0,21,0,0,16,29,0,177,0
13-01 22:43:37,46.970,5.051,47.475,0,0.505,884105216,656527360,128024576,2373025792,5607,2430,0,0,0,0,564,784,1.690,1.670,1.430,1,0,1,0,0,16,29,0,177,0
13-01 22:43:38,45.050,6.931,43.564,2.970,1.485,897548288,643039232,128032768,2373062656,5726,2742,0,77824,0,6,933,1909,1.690,1.670,1.430,2,0,0,0,0,16,31,0,169,0
13-01 22:43:39,41.791,9.950,43.284,2.985,1.990,855265280,685199360,128036864,2373181440,5073,2430,0,53248,0,3,1155,2564,1.630,1.660,1.420,2,0,71,0,0,16,29,0,176,0
13-01 22:43:40,46.500,6.500,47,0,0,878321664,662138880,128036864,2373185536,4968,2430,0,0,0,0,632,908,1.630,1.660,1.420,3,0,1,0,0,16,29,0,176,0
13-01 22:43:41,44.776,7.463,40.299,6.468,0.995,897007616,643444736,128036864,2373193728,5923,2160,0,282624,0,19,624,748,1.630,1.660,1.420,1,0,0,0,0,16,29,0,176,0
13-01 22:43:42,46.734,5.528,45.729,0,2.010,899584000,640552960,128036864,2373509120,4611,2700,0,0,0,0,1126,2513,1.630,1.660,1.420,2,0,0,0,0,16,31,0,173,0
13-01 22:43:43,33.333,23.039,37.255,2.941,3.431,856551424,683532288,128045056,2373554176,5773,2430,0,81920,0,6,1396,2833,1.630,1.660,1.420,1,0,184,0,0,16,29,0,177,0
13-01 22:43:44,45.771,6.468,46.766,0,0.995,881385472,658685952,128045056,2373566464,5740,2430,0,0,0,0,669,810,1.580,1.650,1.420,1,0,1,0,0,16,29,0,171,0
13-01 22:43:45,47.236,5.025,47.236,0,0.503,899829760,640233472,128045056,2373574656,7260,2430,0,0,0,0,621,860,1.580,1.650,1.420,2,0,2,0,0,16,31,0,172,0
13-01 22:43:46,44.828,5.419,39.409,4.433,5.911,900317184,639569920,128045056,2373750784,5712,2430,0,126976,0,25,1153,2374,1.580,1.650,1.420,2,0,0,0,0,16,31,0,174,0
13-01 22:43:47,43.069,7.921,46.040,0,2.970,860594176,679256064,128045056,2373787648,4716,2430,0,0,0,0,836,1478,1.580,1.650,1.420,2,0,21,0,0,16,29,0,177,0
13-01 22:43:48,47.264,5.473,43.284,3.483,0.498,885153792,654688256,128049152,2373791744,4171,2430,0,49152,0,2,517,728,1.580,1.650,1.420,1,0,1,0,0,16,29,0,171,0
13-01 22:43:49,45.274,6.965,46.766,0,0.995,897863680,641961984,128049152,2373808128,4590,2472,0,0,0,0,708,1443,1.530,1.640,1.420,1,0,0,0,0,16,31,0,175,0
13-01 22:43:50,44.724,5.025,45.226,3.518,1.508,850620416,689025024,128053248,2373984256,5123,2430,0,45056,0,3,1163,2487,1.530,1.640,1.420,3,0,10,0,0,16,29,0,183,0
13-01 22:43:51,42.929,12.121,44.949,0,0,876421120,663191552,128053248,2374017024,4134,2430,0,180224,0,37,865,1261,1.530,1.640,1.420,2,0,62,0,0,16,29,0,183,0
13-01 22:43:52,46,6.500,41,6,0.500,894914560,644673536,128061440,2374025216,6747,2700,0,212992,0,15,667,822,1.530,1.640,1.420,2,0,0,0,0,16,29,0,181,0
13-01 22:43:53,47,6,44.500,0,2.500,899563520,639979520,128061440,2374070272,8263,2700,0,0,0,0,1059,2345,1.530,1.640,1.420,1,0,0,0,0,16,31,0,190,0
13-01 22:43:54,41.791,14.428,43.284,0,0.498,859885568,679489536,128061440,2374238208,6214,2700,0,0,0,0,1313,2498,1.490,1.620,1.420,1,0,100,0,0,16,29,0,188,0
13-01 22:43:55,46.734,6.030,40.704,6.533,0,880939008,658415616,128073728,2374246400,5494,2430,0,73728,0,6,639,938,1.490,1.620,1.420,2,0,3,0,0,16,29,0,188,0
13-01 22:43:56,45.274,5.473,48.756,0,0.498,898285568,641048576,128073728,2374266880,6248,2700,0,4096,0,1,552,830,1.490,1.620,1.420,2,0,0,0,0,16,31,0,182,0
13-01 22:43:57,44.724,10.050,45.226,0,0,860893184,678412288,128073728,2374295552,5462,2700,0,0,0,0,932,1760,1.490,1.620,1.420,1,0,51,0,0,16,29,0,187,0
13-01 22:43:58,48.241,4.020,47.739,0,0,884563968,654729216,128073728,2374307840,4709,2430,0,0,0,0,540,750,1.490,1.620,1.420,2,0,1,0,0,16,29,0,187,0
13-01 22:43:59,41.206,11.055,47.236,0,0.503,898670592,640606208,128081920,2374316032,4136,2430,0,65536,0,4,643,1206,1.450,1.610,1.410,1,2,0,0,0,16,31,0,190,0
13-01 22:44:00,40.500,13,43.500,2,1,862298112,676941824,128081920,2374352896,6456,2700,0,24576,0,2,780,1409,1.450,1.610,1.410,2,0,81,0,0,16,29,0,191,0
13-01 22:44:01,46.500,5,35.500,12.500,0.500,885805056,653422592,128094208,2374352896,6615,2430,0,839680,0,21,546,841,1.450,1.610,1.410,2,0,1,0,0,16,29,0,186,0
13-01 22:44:02,45.771,4.975,46.269,0,2.985,899850240,639356928,128094208,2374373376,5059,2160,0,0,0,0,797,1632,1.450,1.610,1.410,1,0,0,0,0,16,31,0,193,0
13-01 22:44:03,39.216,12.745,41.667,3.431,2.941,864575488,674459648,128098304,2374533120,4287,2430,0,61440,0,4,811,1429,1.450,1.610,1.410,2,1,65,0,0,16,29,0,189,0
13-01 22:44:04,45,6.500,43,4,1.500,888111104,650907648,128102400,2374545408,5208,2430,0,28672,0,2,616,744,1.410,1.600,1.410,2,0,0,0,0,16,29,0,189,0
13-01 22:44:05,43.781,5.970,44.776,0,5.473,899854336,639127552,128102400,2374582272,5015,2430,0,4096,0,2,936,1707,1.410,1.600,1.410,0,1,2,0,0,16,31,0,194,0
13-01 22:44:06,37.438,13.300,45.320,0,3.941,865079296,673906688,128102400,2374594560,5047,2700,0,815104,0,68,827,1313,1.410,1.600,1.410,3,1,81,0,0,16,29,0,195,0
13-01 22:44:07,49.254,1.990,45.771,0,2.985,885342208,653623296,128110592,2374606848,6568,2430,0,2170880,0,57,660,787,1.410,1.600,1.410,1,0,0,0,0,16,29,0,180,0
13-01 22:44:08,44.500,8,44.500,2,1,899702784,639246336,128118784,2374615040,5513,2472,0,53248,0,6,824,1693,1.410,1.600,1.410,2,0,0,0,0,16,31,0,186,0
13-01 22:44:09,42.439,9.268,45.854,0,2.439,862584832,676319232,128118784,2374660096,5945,2430,0,0,0,0,844,1356,1.380,1.590,1.410,2,0,60,0,0,16,29,0,188,0
13-01 22:44:10,49.246,3.015,40.201,6.533,1.005,886214656,652673024,128131072,2374664192,6134,2524,0,77824,0,6,691,793,1.380,1.590,1.410,3,0,1,0,0,16,29,0,188,0
13-01 22:44:11,44.500,9,45,1.500,0,900329472,638386176,128143360,2374823936,6799,2430,0,57344,0,5,956,1742,1.380,1.590,1.410,3,0,0,0,0,16,31,0,180,0
13-01 22:44:12,41.872,15.271,36.453,1.478,4.926,863633408,675045376,128155648,2374848512,4803,2430,0,180224,0,14,1000,1694,1.380,1.590,1.410,2,0,85,0,0,16,29,0,181,0
13-01 22:44:13,49.246,3.015,46.734,0,1.005,887709696,650948608,128167936,2374856704,7249,2430,0,90112,0,6,660,920,1.380,1.590,1.410,2,0,1,0,0,16,29,0,177,0
13-01 22:44:14,47.236,6.030,36.181,10.050,0.503,900521984,638103552,128184320,2374873088,5902,2700,0,450560,0,27,885,1688,1.350,1.580,1.410,2,0,0,0,0,16,29,0,182,0
13-01 22:44:15,37.500,16.500,43,1.500,1.500,866885632,671707136,128192512,2374897664,3981,2430,0,102400,0,6,965,1964,1.350,1.580,1.410,2,0,131,0,0,16,29,0,171,0
13-01 22:44:16,46,6,33.500,14,0.500,890281984,648286208,128208896,2374905856,5435,2700,0,442368,0,22,656,913,1.350,1.580,1.410,2,0,0,0,0,16,29,0,171,0
13-01 22:44:17,42.500,8.500,35,11.500,2.500,900194304,638345216,128225280,2374918144,4763,2430,0,106496,0,9,934,1562,1.350,1.580,1.410,1,1,0,0,0,16,31,0,169,0
13-01 22:44:18,32.673,19.802,30.693,15.842,0.990,863502336,674963456,128262144,2374955008,7498,2700,0,266240,0,27,1255,2462,1.350,1.580,1.410,1,1,179,0,0,16,29,0,170,0
13-01 22:44:19,44.724,6.533,41.206,6.030,1.508,887316480,651124736,128274432,2374963200,5648,2430,0,77824,0,7,687,874,1.320,1.570,1.410,2,0,1,0,0,16,29,0,170,0
13-01 22:44:20,48.744,3.015,29.146,18.090,1.005,901742592,636678144,128278528,2374979584,5349,2376,0,905216,0,30,763,1137,1.320,1.570,1.410,3,0,0,0,0,16,29,0,173,0
13-01 22:44:21,46.231,5.528,45.729,0,2.513,861442048,676814848,128278528,2375143424,5922,2484,0,0,0,0,1073,1937,1.320,1.570,1.410,1,0,21,0,0,16,29,0,175,0
13-01 22:44:22,46,6.500,47,0,0.500,885211136,653029376,128278528,2375159808,8249,2430,0,73728,0,16,708,828,1.320,1.570,1.410,1,0,1,0,0,16,29,0,175,0
13-01 22:44:23,47.449,5.102,45.408,2.041,0,899190784,639033344,128290816,2375168000,6160,2430,0,69632,0,6,868,1576,1.320,1.570,1.410,2,0,0,0,0,16,31,0,172,0
13-01 22:44:24,43,11,44,1.500,0.500,864198656,673976320,128294912,2375213056,4086,2430,0,40960,0,3,896,1753,1.300,1.560,1.400,1,0,71,0,0,16,29,0,175,0
13-01 22:44:25,47.475,4.040,39.899,7.576,1.010,887988224,650166272,128307200,2375221248,6176,2700,0,69632,0,6,704,966,1.300,1.560,1.400,2,0,3,0,0,16,29,0,171,0
13-01 22:44:26,46.500,6,42,5.500,0,901681152,636424192,128323584,2375254016,5855,2592,0,204800,0,15,1003,1915,1.300,1.560,1.400,2,0,0,0,0,16,31,0,177,0
13-01 22:44:27,41.414,13.636,44.444,0,0.505,863252480,674689024,128323584,2375417856,7468,2538,0,4096,0,1,1054,2096,1.300,1.560,1.400,2,0,121,0,0,16,29,0,177,0
13-01 22:44:28,47.980,4.545,43.939,3.535,0,886853632,651075584,128331776,2375421952,6981,2700,0,77824,0,6,681,851,1.300,1.560,1.400,1,0,1,0,0,16,29,0,177,0
13-01 22:44:29,46.193,5.584,46.701,1.015,0.508,901013504,636882944,128331776,2375454720,5936,2700,0,0,0,0,793,1332,1.270,1.550,1.400,0,1,0,0,0,16,31,0,175,0
13-01 22:44:30,37.879,17.677,38.384,5.556,0.505,864120832,673755136,128335872,2375471104,4379,2430,0,131072,0,9,1062,2075,1.270,1.550,1.400,1,0,179,0,0,16,29,0,176,0
13-01 22:44:31,46.766,5.473,40.796,6.965,0,887562240,650293248,128344064,2375483392,5270,2700,0,438272,0,20,641,929,1.270,1.550,1.400,2,0,1,0,0,16,29,0,174,0
13-01 22:44:32,48.241,4.523,36.683,10.553,0,901668864,636174336,128348160,2375491584,5656,2430,0,188416,0,36,865,1368,1.270,1.550,1.400,2,1,0,0,0,16,31,0,179,0
13-01 22:44:33,42,11,38,8,1,865591296,672198656,128356352,2375536640,5311,2430,0,397312,0,15,879,1357,1.270,1.550,1.400,2,0,22,0,0,16,29,0,178,0
13-01 22:44:34,47.475,4.040,47.980,0,0.505,889028608,648753152,128356352,2375544832,6693,2700,0,0,0,0,680,797,1.250,1.540,1.400,2,0,0,0,0,16,29,0,178,0
13-01 22:44:35,44.279,7.960,46.766,0,0.995,898727936,638877696,128364544,2375712768,7112,2430,0,81920,0,6,1000,1895,1.250,1.540,1.400,2,0,2,0,0,16,29,0,175,0
13-01 22:44:36,45,10,44.500,0,0.500,872759296,664838144,128364544,2375720960,4432,2160,0,0,0,0,762,1160,1.250,1.540,1.400,2,0,72,0,0,16,29,0,175,0
13-01 22:44:37,48.020,3.465,31.683,14.851,1.980,895172608,642392064,128380928,2375737344,5998,2430,0,389120,0,19,659,784,1.250,1.540,1.400,1,0,0,0,0,16,29,0,170,0
13-01 22:44:38,42.714,5.025,17.085,28.643,6.533,901857280,635691008,128380928,2375753728,5962,2472,0,1556480,0,104,993,1840,1.250,1.540,1.400,2,0,0,0,0,16,31,0,177,0
13-01 22:44:39,33.981,16.019,38.350,5.825,5.825,863612928,673894400,128389120,2375786496,3895,2430,0,733184,0,20,995,1672,1.230,1.540,1.400,2,0,109,0,0,16,29,0,164,0
13-01 22:44:40,44.554,5.446,46.535,0,3.465,886996992,650502144,128389120,2375794688,6182,2700,0,0,0,0,666,757,1.230,1.540,1.400,1,0,1,0,0,16,29,0,164,0
13-01 22:44:41,46.269,4.975,46.269,0.995,1.493,901476352,635994112,128389120,2375823360,5417,2430,0,0,0,0,772,1281,1.230,1.540,1.400,0,1,0,0,0,16,31,0,168,0
13-01 22:44:42,32.836,14.428,45.771,3.483,3.483,863526912,673939456,128389120,2375835648,6948,2430,0,40960,0,3,998,1680,1.230,1.540,1.400,1,0,132,0,0,16,29,0,169,0
13-01 22:44:43,48,4.500,40.500,7,0,887083008,650350592,128413696,2375843840,4947,2430,0,245760,0,15,551,829,1.230,1.540,1.400,2,0,1,0,0,16,29,0,169,0
13-01 22:44:44,48.744,4.020,43.719,3.015,0.503,901324800,636100608,128430080,2375835648,4224,2430,0,180224,0,8,791,1267,1.450,1.580,1.410,1,0,0,0,0,16,31,0,157,0
13-01 22:44:45,33.831,20.398,36.318,7.960,1.493,864509952,672837632,128454656,2375888896,24703,2430,0,176128,0,15,1140,2275,1.450,1.580,1.410,2,0,181,0,0,16,29,0,159,0
13-01 22:44:46,47.236,4.523,41.709,6.030,0.503,887902208,649412608,128479232,2375897088,15504,2430,0,421888,0,20,711,858,1.450,1.580,1.410,1,0,1,0,0,16,29,0,157,0
13-01 22:44:47,48.276,4.926,45.813,0,0.985,902086656,635064320,128479232,2376060928,5164,2430,0,0,0,0,749,1372,1.450,1.580,1.410,1,0,0,0,0,16,31,0,161,0
13-01 22:44:48,44.776,6.965,46.269,0,1.990,861667328,675454976,128479232,2376089600,5058,2376,0,0,0,0,935,1618,1.450,1.580,1.410,2,0,21,0,0,16,29,0,153,0
13-01 22:44:49,45.320,4.926,45.320,0.985,3.448,886132736,650977280,128479232,2376101888,4372,2526,0,77824,0,3,666,768,1.420,1.570,1.410,2,1,1,0,0,16,29,0,153,0
13-01 22:44:50,44.828,6.897,43.842,2.463,1.970,900018176,637075456,128483328,2376114176,4688,2430,0,32768,0,4,805,1465,1.420,1.570,1.410,2,0,0,0,0,16,31,0,152,0
13-01 22:44:51,41,10.500,44,4,0.500,864571392,672489472,128483328,2376146944,5109,2430,0,40960,0,3,808,1519,1.420,1.570,1.410,3,0,71,0,0,16,29,0,155,0
13-01 22:44:52,47.739,4.020,47.739,0,0.503,888209408,648843264,128483328,2376155136,7113,2430,0,0,0,0,650,763,1.420,1.570,1.410,2,0,1,0,0,16,29,0,147,0
13-01 22:44:53,45.320,6.897,42.857,4.433,0.493,902078464,634937344,128495616,2376179712,7342,2700,0,159744,0,9,854,1437,1.420,1.570,1.410,2,0,0,0,0,16,31,0,151,0
13-01 22:44:54,41.919,11.616,42.424,2.525,1.515,862744576,674095104,128495616,2376355840,4414,2430,0,81920,0,19,1047,2002,1.380,1.560,1.400,1,0,109,0,0,16,29,0,144,0
13-01 22:44:55,46,6.500,47,0,0.500,881852416,654983168,128495616,2376359936,3894,2430,0,0,0,0,607,800,1.380,1.560,1.400,1,0,3,0,0,16,29,0,144,0
13-01 22:44:56,47.980,4.040,46.465,1.515,0,896884736,639938560,128499712,2376368128,3698,2160,0,69632,0,6,590,724,1.380,1.560,1.400,2,0,0,0,0,16,29,0,141,0
13-01 22:44:57,44.221,8.543,44.221,1.508,1.508,861016064,675762176,128516096,2376396800,5640,2430,0,57344,0,6,907,1837,1.380,1.560,1.400,1,0,51,0,0,16,29,0,147,0
13-01 22:44:58,46.040,6.436,47.030,0,0.495,883019776,653746176,128516096,2376409088,5894,2700,0,0,0,0,644,780,1.380,1.560,1.400,1,0,1,0,0,16,29,0,141,0
13-01 22:44:59,48.223,4.569,47.208,0,0,901201920,635559936,128516096,2376413184,5188,2430,0,0,0,0,691,862,1.430,1.560,1.410,1,0,0,0,0,16,31,0,142,0
13-01 22:45:00,38.614,14.851,44.059,1.485,0.990,863584256,673140736,128520192,2376445952,4928,2700,0,65536,0,3,1177,2089,1.430,1.560,1.410,2,0,120,0,0,16,29,0,141,0
13-01 22:45:01,45.960,6.061,47.475,0,0.505,887226368,649494528,128520192,2376450048,4663,2700,0,0,0,0,655,781,1.430,1.560,1.410,2,0,1,0,0,16,29,0,141,0
13-01 22:45:02,46.231,6.030,41.709,5.528,0.503,901513216,635174912,128532480,2376470528,5023,2430,0,196608,0,9,690,1201,1.430,1.560,1.410,2,0,0,0,0,16,31,0,145,0
13-01 22:45:03,37.688,18.593,42.714,0,1.005,862240768,674254848,128548864,2376646656,5587,2742,0,90112,0,9,1162,2195,1.430,1.560,1.410,1,0,132,0,0,16,29,0,147,0
